run,task,model_id,quality_group,n_records_corpus,reported,n_folds,n_units_mean,mean_snr_proxy_db,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd
EXP-C1-two_class,circor_murmur,M7,low_quality_other,7,False,4,1.75,10.16968475,0.25,0.5,1.0,0.0,0.625,0.25,1.0,0.0,,,0.875,0.25
EXP-C1-two_class,circor_murmur,M7,noisy,1388,True,5,277.6,0.9653655117467308,0.4174492140821767,0.04595197414031348,0.8744394711001773,0.05037070475766489,0.6459443425911771,0.01720107164364106,0.7015604950291078,0.05099684520226504,,,0.8045628446667958,0.0389925849978034
EXP-C2,circor_outcome,M3,clean,1655,True,5,331.0,9.837856972711572,0.43332227696209935,0.05931758610800865,0.7718119985444741,0.04026560946664421,0.6025671377532869,0.023679172392656253,0.6368106535800931,0.020179766183109727,,,0.6079549769884602,0.02855276280210672
EXP-C2,circor_outcome,M3,low_quality_other,8,False,4,2.0,10.169716541666666,0.29166666666666663,0.3435921354681384,0.0,0.0,0.29166666666666663,0.3435921354681384,,,,,0.29166666666666663,0.3435921354681384
EXP-C2,circor_outcome,M3,noisy,1500,True,5,300.0,0.8877603405482256,0.459015018478769,0.07826296003759667,0.7452440234782758,0.040035883241818955,0.6021295209785225,0.04145495432412447,0.6101420140236661,0.04256417149248975,,,0.6067819691673941,0.04444234397358987
EXP-C2,circor_outcome,M4,clean,1655,True,5,331.0,9.837856972711572,0.49602674025755816,0.04633243103228813,0.7104440298472403,0.03252173688621448,0.6032353850523993,0.016071956841872865,0.6381395394426322,0.02882238219760079,,,0.6062012404071522,0.01339117879573245
EXP-C2,circor_outcome,M4,low_quality_other,8,False,4,2.0,10.169716541666666,0.375,0.47871355387816905,0.75,0.3535533905932738,0.5625,0.3145764348029479,,,,,0.75,0.28867513459481287
EXP-C2,circor_outcome,M4,noisy,1500,True,5,300.0,0.8877603405482256,0.4696676029561152,0.0907942527769501,0.7245562487207334,0.04827234298427,0.5971119258384243,0.035754650913538265,0.6187248741718658,0.037923579836399664,,,0.6009412515371334,0.03720986182339474
EXP-C2,circor_outcome,M5,clean,1655,True,5,331.0,9.837856972711572,0.49757839257902675,0.04990320008308414,0.7037402181204325,0.034411040256068476,0.6006593053497296,0.020710337651809616,0.6339926967014299,0.027711999658462234,,,0.6037000833163775,0.01805892684675427
EXP-C2,circor_outcome,M5,low_quality_other,8,False,4,2.0,10.169716541666666,0.29166666666666663,0.3435921354681384,0.75,0.3535533905932738,0.47916666666666663,0.17179606773406916,,,,,0.6666666666666666,0.23570226039551584
EXP-C2,circor_outcome,M5,noisy,1500,True,5,300.0,0.8877603405482256,0.48507516744800006,0.0973480821386246,0.6956316120435172,0.041593189390894854,0.5903533897457585,0.04147517652018816,0.6224871499605928,0.04705968026052072,,,0.5933671370843697,0.0403287461722472
EXP-C2,circor_outcome,M6,clean,1655,True,5,331.0,9.837856972711572,0.461386713335984,0.08501855720754135,0.7520164710505983,0.08675603044998172,0.6067015921932912,0.00924423688897994,0.6437560126346702,0.024205010893220486,,,0.6089954228868586,0.005928691973294336
EXP-C2,circor_outcome,M6,low_quality_other,8,False,4,2.0,10.169716541666666,0.29166666666666663,0.3435921354681384,0.25,0.3535533905932738,0.35416666666666663,0.29166666666666663,,,,,0.41666666666666663,0.28867513459481287
EXP-C2,circor_outcome,M6,noisy,1500,True,5,300.0,0.8877603405482256,0.45437342285557836,0.1299563174956486,0.7194367105078641,0.07112221832932586,0.5869050666817213,0.03988405588633357,0.6207690039029782,0.04008142784407228,,,0.5926568896742805,0.03765960334118249
EXP-C2,circor_outcome,M7,clean,1655,True,5,331.0,9.837856972711572,0.461386713335984,0.08501855720754135,0.7520164710505983,0.08675603044998172,0.6067015921932912,0.00924423688897994,0.6437560126346702,0.024205010893220486,,,0.6089954228868586,0.005928691973294336
EXP-C2,circor_outcome,M7,low_quality_other,8,False,4,2.0,10.169716541666666,0.29166666666666663,0.3435921354681384,0.25,0.3535533905932738,0.35416666666666663,0.29166666666666663,,,,,0.41666666666666663,0.28867513459481287
EXP-C2,circor_outcome,M7,noisy,1500,True,5,300.0,0.8877603405482256,0.45437342285557836,0.1299563174956486,0.7194367105078641,0.07112221832932586,0.5869050666817213,0.03988405588633357,0.6207690039029782,0.04008142784407228,,,0.5926568896742805,0.03765960334118249
