task,fold_label,model_id,kind,feature,importance,importance_std,scoring,n_repeats,n_scored_rows,computed_on,rank
binary,r0f0,M3,permutation,mfcc_06_mean,0.005691379817593378,0.005206660511995811,balanced_accuracy,10,647,held-out fold,39
binary,r0f0,M3,permutation,chroma_05_mean,0.005681818181818177,0.0026141250800031384,balanced_accuracy,10,647,held-out fold,40
binary,r0f0,M3,permutation,mfcc_06_std,0.005622977346278324,0.0028962067477010466,balanced_accuracy,10,647,held-out fold,41
binary,r0f0,M3,permutation,chroma_08_std,0.005516328331862308,0.0028345889293742077,balanced_accuracy,10,647,held-out fold,42
binary,r0f0,M3,permutation,time_energy,0.005341276846131194,0.00594235070010119,balanced_accuracy,10,647,held-out fold,43
binary,r0f0,M3,permutation,time_duration,0.005341276846131194,0.00594235070010119,balanced_accuracy,10,647,held-out fold,43
binary,r0f0,M3,permutation,chroma_03_mean,0.005127978817299173,0.0022900677250991576,balanced_accuracy,10,647,held-out fold,45
binary,r0f0,M3,permutation,chroma_04_mean,0.005021329802883212,0.003416811453214901,balanced_accuracy,10,647,held-out fold,46
binary,r0f0,M3,permutation,freq_band_power_100_150,0.0049242424242424195,0.003409090909090906,balanced_accuracy,10,647,held-out fold,47
binary,r0f0,M3,permutation,dwt_cD3_mean_abs,0.00482715504560165,0.004366369444978687,balanced_accuracy,10,647,held-out fold,48
binary,r0f0,M3,permutation,mfcc_11_delta_mean,0.004768314210061797,0.003299788814198763,balanced_accuracy,10,647,held-out fold,49
binary,r0f0,M3,permutation,dwt_cA5_mean_abs,0.004739629302736081,0.0025517616651081977,balanced_accuracy,10,647,held-out fold,50
binary,r0f0,M3,permutation,env_kurtosis,0.004632980288320099,0.0037604980305155243,balanced_accuracy,10,647,held-out fold,51
binary,r0f0,M3,permutation,dwt_cD4_std,0.004545454545454542,0.003302196169348992,balanced_accuracy,10,647,held-out fold,52
binary,r0f0,M3,permutation,dwt_cD4_entropy,0.004457928802588984,0.0025044588561423118,balanced_accuracy,10,647,held-out fold,53
binary,r0f0,M3,permutation,mfcc_10_delta_mean,0.004370403059723438,0.003093630373757936,balanced_accuracy,10,647,held-out fold,54
binary,r0f0,M3,permutation,chroma_01_std,0.004360841423948225,0.0026875202393940915,balanced_accuracy,10,647,held-out fold,55
binary,r0f0,M3,permutation,time_median,0.004282877316857903,0.002855584702650828,balanced_accuracy,10,647,held-out fold,56
binary,r0f0,M3,permutation,env_peak_rate,0.0042049132097675915,0.004218079038455841,balanced_accuracy,10,647,held-out fold,57
binary,r0f0,M3,permutation,time_shannon_entropy,0.004107825831126799,0.0039719705765315395,balanced_accuracy,10,647,held-out fold,58
binary,r0f0,M3,permutation,env_skew,0.004079140923801095,0.00524360680356625,balanced_accuracy,10,647,held-out fold,59
binary,r0f0,M3,permutation,time_sample_entropy,0.004069579288025893,0.003171517368278734,balanced_accuracy,10,647,held-out fold,60
binary,r0f0,M3,permutation,freq_bandwidth_std,0.004001176816710794,0.0021924454783650705,balanced_accuracy,10,647,held-out fold,61
binary,r0f0,M3,permutation,time_max,0.003962930273609888,0.0014567147828199063,balanced_accuracy,10,647,held-out fold,62
binary,r0f0,M3,permutation,mfcc_07_delta_mean,0.0038945278022947893,0.004918179931898493,balanced_accuracy,10,647,held-out fold,63
binary,r0f0,M3,permutation,chroma_06_std,0.003894527802294767,0.0020071923703375337,balanced_accuracy,10,647,held-out fold,64
binary,r0f0,M3,permutation,mfcc_02_std,0.0038165636952045,0.006865558368470665,balanced_accuracy,10,647,held-out fold,65
binary,r0f0,M3,permutation,chroma_05_std,0.003719476316563719,0.003159400587973206,balanced_accuracy,10,647,held-out fold,66
binary,r0f0,M3,permutation,chroma_12_std,0.0035937040305972336,0.0033005644169660886,balanced_accuracy,10,647,held-out fold,67
binary,r0f0,M3,permutation,freq_flatness_std,0.003525301559282157,0.0029353834813634384,balanced_accuracy,10,647,held-out fold,68
binary,r0f0,M3,permutation,mfcc_09_delta_mean,0.0035253015592821347,0.0031492132624498575,balanced_accuracy,10,647,held-out fold,69
binary,r0f0,M3,permutation,freq_spectral_entropy,0.00341865254486613,0.002716340347530994,balanced_accuracy,10,647,held-out fold,70
binary,r0f0,M3,permutation,dwt_cD2_mean_abs,0.003409090909090906,0.002651515151515149,balanced_accuracy,10,647,held-out fold,71
binary,r0f0,M3,permutation,chroma_02_std,0.003312003530450125,0.0032629634954581344,balanced_accuracy,10,647,held-out fold,72
binary,r0f0,M3,permutation,mfcc_12_delta_mean,0.003243601059135037,0.0027593838629048676,balanced_accuracy,10,647,held-out fold,73
