exp_id,model_id,repeat,fold,fold_label,n_train,n_test,sensitivity,specificity,balanced_accuracy,f1,precision,roc_auc,pr_auc,accuracy,mcc,brier,ece
EXP-A1,M4,4,0,r4f0,2585,655,0.7352941176470589,0.8882466281310212,0.81177037288904,0.6802721088435374,0.6329113924050633,0.9101000226680268,0.704842223912661,0.8564885496183207,0.5911684297728056,0.2187503145038167,0.0500091603053435
EXP-A1,M4,4,1,r4f1,2596,644,0.7786259541984732,0.9668615984405458,0.8727437763195095,0.816,0.8571428571428571,0.9590048063330506,0.8703490293927765,0.9285714285714286,0.7731817499152164,0.141742099378882,0.0906801242236025
EXP-A1,M4,4,2,r4f2,2593,647,0.7045454545454546,0.9611650485436892,0.832855251544572,0.7591836734693878,0.8230088495575221,0.9562224183583408,0.8544797776415354,0.9088098918083464,0.7065878069145891,0.1475042720247295,0.0632210200927357
EXP-A1,M4,4,3,r4f3,2589,651,0.8074074074074075,0.937984496124031,0.8726959517657192,0.7898550724637681,0.7730496453900709,0.9496052253804192,0.8252705301237709,0.9109062980030722,0.7336379046566673,0.1593782365591398,0.0798955453149001
EXP-A1,M4,4,4,r4f4,2597,643,0.7022900763358778,0.9375,0.8198950381679388,0.7215686274509804,0.7419354838709677,0.9243648616412214,0.7612843220958072,0.8895800933125972,0.6531510154042239,0.1791337604976672,0.0528335925349922
EXP-A1,M5,0,0,r0f0,2593,647,0.7954545454545454,0.8233009708737864,0.8093777581641659,0.6402439024390244,0.5357142857142857,0.9076493086201824,0.7196330402144142,0.8176197836166924,0.5426169517154407,0.2498129999776813,0.0882906658716169
EXP-A1,M5,0,1,r0f1,2589,651,0.753731343283582,0.9342359767891684,0.8439836600363751,0.7509293680297398,0.7481481481481481,0.9292560408787784,0.8462034463139657,0.8970814132104454,0.686078396755225,0.1573465898818349,0.0215233134651182
EXP-A1,M5,0,2,r0f2,2596,644,0.6946564885496184,0.95906432748538,0.8268604080174993,0.7489711934156379,0.8125,0.9494516613841644,0.8476090298263005,0.90527950310559,0.6942594774096881,0.1377034952367936,0.016751588377321
EXP-A1,M5,0,3,r0f3,2585,655,0.7737226277372263,0.9034749034749034,0.8385987656060649,0.7235494880546075,0.6794871794871795,0.93189696474368,0.8035870311344644,0.8763358778625954,0.6465884724679508,0.1775348821833466,0.0234819114507603
EXP-A1,M5,0,4,r0f4,2597,643,0.9083969465648856,0.861328125,0.8848625357824427,0.7414330218068536,0.6263157894736842,0.9462666984732824,0.7502255817203937,0.8709175738724728,0.6794857597874479,0.1888662701942141,0.0381518891506402
EXP-A1,M5,1,0,r1f0,2593,647,0.7727272727272727,0.8330097087378641,0.8028684907325684,0.6375,0.5425531914893617,0.904751397469844,0.6983612021093382,0.8207109737248841,0.5376373127989723,0.243297743073916,0.0549127203059723
EXP-A1,M5,1,1,r1f1,2585,655,0.8088235294117647,0.8863198458574181,0.8475716876345913,0.7213114754098361,0.650887573964497,0.940326419585175,0.7781874877712925,0.8702290076335878,0.6444155839562791,0.1762991308731913,0.0295164570595356
EXP-A1,M5,1,2,r1f2,2596,644,0.8015267175572519,0.9571150097465888,0.8793208636519203,0.813953488372093,0.8267716535433071,0.9586179188429088,0.8901949116041258,0.9254658385093169,0.7675097915638525,0.1195226635743441,0.0164521899020643
EXP-A1,M5,1,3,r1f3,2589,651,0.7925925925925926,0.9244186046511628,0.8585055986218777,0.7615658362989324,0.7328767123287672,0.930864197530864,0.7418487198320591,0.8970814132104454,0.6969402647688642,0.1683337271904149,0.0362757476297964
EXP-A1,M5,1,4,r1f4,2597,643,0.8931297709923665,0.900390625,0.8967601979961832,0.782608695652174,0.6964285714285714,0.9642622853053436,0.8424790394623938,0.8989113530326595,0.7274904165790139,0.1391425850845616,0.0151144434850412
EXP-A1,M5,2,0,r2f0,2596,644,0.7251908396946565,0.8518518518518519,0.7885213457732542,0.6291390728476821,0.5555555555555556,0.8834575837388212,0.700631523383527,0.8260869565217391,0.5259853519126659,0.252465801846336,0.0648487099367479
